tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-life-stage,animal-reproductive-condition,animal-sex,attachment-type,data-processing-software,deployment-end-type,deployment-id,duty-cycle,manipulation-comments,manipulation-type,study-site,tag-manufacturer-name,tag-mass,tag-model,tag-readout-method
Teddy-Tag,Teddy,Felis catus,2017-09-10 01:46:42.000,2017-09-13 07:46:11.000,Hunt: Yes; prey_p_month: 0.5,9 years,Spayed,f,collar,@Trip PC,removal,Teddy,3-min fixes,"hrs_indoors: 12.5; n_cats: 3; Food: Dry- Yes, Wet- Yes, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Marley-Tag,Marley,Felis catus,2017-09-10 11:02:26.000,2017-09-15 19:54:44.000,Hunt: Yes; prey_p_month: 0.5,1 year,Neutered,m,collar,@Trip PC,removal,Marley,3-min fixes,"hrs_indoors: 7.5; n_cats: 1; Food: Dry- Yes, Wet- Yes, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Guinness-Tag,Guinness,Felis catus,2017-09-13 18:02:02.000,2017-09-18 00:05:25.000,Hunt: Yes; prey_p_month: 3,7 years,Neutered,m,collar,@Trip PC,removal,Guinness,3-min fixes,"hrs_indoors: 17.5; n_cats: 1; Food: Dry- Yes, Wet- Yes, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Reggie-Tag,Reggie,Felis catus,2017-09-17 01:02:50.000,2017-09-24 00:52:32.000,Hunt: Yes; prey_p_month: 7.5,8 years,Spayed,f,collar,@Trip PC,removal,Reggie,3-min fixes,"hrs_indoors: 12.5; n_cats: 3; Food: Dry- Yes, Wet- Yes, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Jessie-Tag,Jessie,Felis catus,2017-09-17 01:04:18.000,2017-10-16 00:05:36.000,Hunt: Yes; prey_p_month: 3,5 years,Spayed,f,collar,@Trip PC,removal,Jessie,3-min fixes,"hrs_indoors: 7.5; n_cats: 1; Food: Dry- Yes, Wet- Yes, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Roger-Tag,Roger,Felis catus,2017-09-17 01:05:12.000,2017-09-23 23:57:00.000,Hunt: Yes; prey_p_month: 0.5,6 years,Neutered,m,collar,@Trip PC,removal,Roger,3-min fixes,"hrs_indoors: 17.5; n_cats: 2; Food: Dry- Yes, Wet- Yes, Other-",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Gracie_2-Tag,Gracie_2,Felis catus,2017-09-17 01:21:38.000,2017-09-22 16:15:14.000,Hunt: Yes; prey_p_month: 0.5,6 years,Spayed,f,collar,@Trip PC,removal,Gracie_2,3-min fixes,"hrs_indoors: 17.5; n_cats: 2; Food: Dry- Yes, Wet- Yes, Other-",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Dexter-Tag,Dexter,Felis catus,2017-09-17 01:34:47.000,2017-09-24 07:35:18.000,Hunt: Yes; prey_p_month: 3,3 years,Neutered,m,collar,@Trip PC,removal,Dexter,3-min fixes,"hrs_indoors: 12.5; n_cats: 1; Food: Dry- Yes, Wet- Yes, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Tilly-Tag,Tilly,Felis catus,2017-09-17 02:53:42.000,2017-09-24 04:27:01.000,Hunt: Yes; prey_p_month: 3,5 years,Spayed,f,collar,@Trip PC,removal,Tilly,3-min fixes,"hrs_indoors: 12.5; n_cats: 3; Food: Dry- Yes, Wet- No, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Balu-Tag,Balu,Felis catus,2017-09-18 01:03:13.000,2017-09-25 05:39:45.000,Hunt: Yes; prey_p_month: 3,7 years,Spayed,f,collar,@Trip PC,removal,Balu,3-min fixes,"hrs_indoors: 2.5; n_cats: 1; Food: Dry- Yes, Wet- No, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Missy-Tag,Missy,Felis catus,2017-09-18 06:57:14.000,2017-09-25 06:46:02.000,Hunt: Yes; prey_p_month: 3,3 years,Spayed,f,collar,@Trip PC,removal,Missy,3-min fixes,"hrs_indoors: 7.5; n_cats: 2; Food: Dry- Yes, Wet- Yes, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Dexter2-Tag,Dexter2,Felis catus,2017-09-23 17:31:52.000,2017-09-29 05:09:59.000,Hunt: No; prey_p_month: 0,1 year,Neutered,m,collar,@Trip PC,removal,Dexter2,3-min fixes,"hrs_indoors: 2.5; n_cats: 1; Food: Dry- Yes, Wet- Yes, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Fairclough-Tag,Fairclough,Felis catus,2017-09-24 01:02:32.000,2017-10-01 00:31:25.000,Hunt: No; prey_p_month: 0,4 years,Neutered,m,collar,@Trip PC,removal,Fairclough,3-min fixes,"hrs_indoors: 17.5; n_cats: 2; Food: Dry- Yes, Wet- Yes, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
