tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-life-stage,animal-reproductive-condition,animal-sex,attachment-type,data-processing-software,deployment-end-type,deployment-id,duty-cycle,manipulation-comments,manipulation-type,study-site,tag-manufacturer-name,tag-mass,tag-model,tag-readout-method
Meg-Tag,Meg,Felis catus,2017-07-02 01:02:43.000,2017-07-09 00:36:13.000,Hunt: Yes; prey_p_month: 3,8 years,,f,collar,@Trip PC,removal,Meg,3-min fixes,"hrs_indoors: 12.5; n_cats: 1; Food: Dry- Yes, Wet- Yes, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Friday,Friday,Felis catus,2017-07-02 07:28:08.000,2017-07-07 21:56:16.000,Hunt: Yes; prey_p_month: 0.5,1 year,Neutered,m,collar,@Trip PC,removal,Friday,3-min fixes,"hrs_indoors: 7.5; n_cats: 1; Food: Dry- Yes, Wet- No, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Carbonel-Tag,Carbonel,Felis catus,2017-07-07 01:01:46.000,2017-07-14 02:51:28.000,Hunt: No; prey_p_month: 0,8 years,Neutered,m,collar,@Trip PC,removal,Carbonel,3-min fixes,"hrs_indoors: 17.5; n_cats: 1; Food: Dry- Yes, Wet- No, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Fonzie-Tag,Fonzie,Felis catus,2017-07-08 01:02:02.000,2017-07-15 08:10:04.000,Hunt: Yes; prey_p_month: 0.5,10 years,Neutered,m,collar,@Trip PC,removal,Fonzie,3-min fixes,"hrs_indoors: 12.5; n_cats: 2; Food: Dry- Yes, Wet- Yes, Other-",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Jessy-Tag,Jessy,Felis catus,2017-07-08 01:02:52.000,2017-07-08 13:12:54.000,Hunt: Yes; prey_p_month: 3,11 years,Spayed,f,collar,@Trip PC,removal,Jessy,3-min fixes,"hrs_indoors: 12.5; n_cats: 1; Food: Dry- Yes, Wet- Yes, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Barney-Tag,Barney,Felis catus,2017-07-08 01:16:36.000,2017-07-15 07:20:01.000,Hunt: Yes; prey_p_month: 0.5,11 years,Neutered,m,collar,@Trip PC,removal,Barney,3-min fixes,"hrs_indoors: 12.5; n_cats: 2; Food: Dry- Yes, Wet- Yes, Other-",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Sparky-Tag,Sparky,Felis catus,2017-07-08 02:36:48.000,2017-07-15 01:56:49.000,Hunt: Yes; prey_p_month: 0.5,8 years,Spayed,f,collar,@Trip PC,removal,Sparky,3-min fixes,"hrs_indoors: 7.5; n_cats: 4; Food: Dry- Yes, Wet- Yes, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Indie-Tag,Indie,Felis catus,2017-07-09 01:03:00.000,2017-07-16 09:33:00.000,Hunt: Yes; prey_p_month: 0.5,3 years,Neutered,m,collar,@Trip PC,removal,Indie,3-min fixes,"hrs_indoors: 17.5; n_cats: 2; Food: Dry- Yes, Wet- No, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Whiskey-Tag,Whiskey,Felis catus,2017-07-09 01:04:12.000,2017-07-16 03:11:05.000,Hunt: Yes; prey_p_month: 0.5,5 years,Neutered,m,collar,@Trip PC,removal,Whiskey,3-min fixes,"hrs_indoors: 17.5; n_cats: 1; Food: Dry- Yes, Wet- Yes, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Rusty-Tag,Rusty,Felis catus,2017-07-09 02:19:00.000,2017-07-16 00:34:00.000,Hunt: Yes; prey_p_month: 3,4 years,Neutered,m,collar,@Trip PC,removal,Rusty,3-min fixes,"hrs_indoors: 17.5; n_cats: 1; Food: Dry- Yes, Wet- No, Other-",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Mifty-Tag,Mifty,Felis catus,2017-07-13 01:01:00.000,2017-07-20 00:31:00.000,Hunt: Yes; prey_p_month: 12.5,2 years,Spayed,f,collar,@Trip PC,removal,Mifty,3-min fixes,"hrs_indoors: 7.5; n_cats: 1; Food: Dry- Yes, Wet- Yes, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Wilfred-Tag,Wilfred,Felis catus,2017-07-13 01:01:06.000,2017-07-20 01:19:06.000,Hunt: Unsure; prey_p_month: 0,6 years,Neutered,m,collar,@Trip PC,removal,Wilfred,3-min fixes,"hrs_indoors: 7.5; n_cats: 1; Food: Dry- Yes, Wet- No, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Johnny-Tag,Johnny,Felis catus,2017-07-13 01:02:09.000,2017-07-16 00:08:52.000,Hunt: Yes; prey_p_month: 12.5,,Neutered,m,collar,@Trip PC,removal,Johnny,3-min fixes,"hrs_indoors: 7.5; n_cats: 1; Food: Dry- Yes, Wet- Yes, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Poppet-Tag,Poppet,Felis catus,2017-07-13 01:02:57.000,2017-07-19 20:52:53.000,Hunt: Yes; prey_p_month: 3,10 years,Spayed,f,collar,@Trip PC,removal,Poppet,3-min fixes,"hrs_indoors: 22.5; n_cats: 3; Food: Dry- Yes, Wet- Yes, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Pussy-Tag,Pussy,Felis catus,2017-07-13 01:05:34.000,2017-07-20 16:06:52.000,Hunt: Yes; prey_p_month: 3,2 years,Neutered,m,collar,@Trip PC,removal,Pussy,3-min fixes,"hrs_indoors: 2.5; n_cats: 3; Food: Dry- Yes, Wet- No, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Henry-Tag,Henry,Felis catus,2017-07-14 01:02:00.000,2017-07-21 00:04:00.000,Hunt: No; prey_p_month: 0,8 years,Neutered,m,collar,@Trip PC,removal,Henry,3-min fixes,"hrs_indoors: 7.5; n_cats: 1; Food: Dry- Yes, Wet- Yes, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Winnie-Tag,Winnie,Felis catus,2017-07-16 01:02:02.000,2017-07-23 00:11:53.000,Hunt: Yes; prey_p_month: 3,12 years,Neutered,m,collar,@Trip PC,removal,Winnie,3-min fixes,"hrs_indoors: 12.5; n_cats: 1; Food: Dry- Yes, Wet- Yes, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Tom-Tag,Tom,Felis catus,2017-07-16 01:02:32.000,2017-07-24 04:47:12.000,Hunt: Yes; prey_p_month: 12.5,3 years,Spayed,f,collar,@Trip PC,removal,Tom,3-min fixes,"hrs_indoors: 12.5; n_cats: 2; Food: Dry- Yes, Wet- Yes, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Lady T-Tag,Lady T,Felis catus,2017-07-16 01:03:04.000,2017-07-23 15:06:46.000,Hunt: Yes; prey_p_month: 3,2 years,Neutered,m,collar,@Trip PC,removal,Lady T,3-min fixes,"hrs_indoors: 12.5; n_cats: 3; Food: Dry- Yes, Wet- Yes, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Bella-Tag,Bella,Felis catus,2017-07-16 01:46:58.000,2017-07-24 05:18:52.000,Hunt: Yes; prey_p_month: 7.5,3 years,Spayed,f,collar,@Trip PC,removal,Bella,3-min fixes,"hrs_indoors: 12.5; n_cats: 2; Food: Dry- Yes, Wet- Yes, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Ladyboyhawke-Tag,Ladyboyhawke,Felis catus,2017-07-16 22:26:56.000,2017-07-22 01:36:51.000,Hunt: Yes; prey_p_month: 3,5 years,Spayed,f,collar,@Trip PC,removal,Ladyboyhawke,3-min fixes,"hrs_indoors: 17.5; n_cats: 2; Food: Dry- Yes, Wet- Yes, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Charlie2-Tag,Charlie2,Felis catus,2017-07-17 01:01:00.000,2017-07-23 00:05:00.000,Hunt: Yes; prey_p_month: 3,9 years,Neutered,m,collar,@Trip PC,removal,Charlie2,3-min fixes,"hrs_indoors: 12.5; n_cats: 2; Food: Dry- Yes, Wet- Yes, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Max-Tag,Max,Felis catus,2017-07-17 01:03:30.000,2017-07-23 05:19:13.000,Hunt: Yes; prey_p_month: 3,5 years,Neutered,m,collar,@Trip PC,removal,Max,3-min fixes,"hrs_indoors: 12.5; n_cats: 3; Food: Dry- Yes, Wet- Yes, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Ebby-Tag,Ebby,Felis catus,2017-07-20 01:02:02.000,2017-07-27 00:05:31.000,Hunt: Yes; prey_p_month: 3,10 years,Spayed,f,collar,@Trip PC,removal,Ebby,3-min fixes,"hrs_indoors: 17.5; n_cats: 2; Food: Dry- No, Wet- Yes, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Bear-Tag,Bear,Felis catus,2017-07-20 01:03:19.000,2017-07-27 04:17:28.000,Hunt: Yes; prey_p_month: 3,6 years,Neutered,m,collar,@Trip PC,removal,Bear,3-min fixes,"hrs_indoors: 12.5; n_cats: 2; Food: Dry- Yes, Wet- Yes, Other-",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Bumbles-Tag,Bumbles,Felis catus,2017-07-20 03:06:34.000,2017-07-27 00:08:54.000,Hunt: Yes; prey_p_month: 3,12 years,Spayed,f,collar,@Trip PC,removal,Bumbles,3-min fixes,"hrs_indoors: 12.5; n_cats: 2; Food: Dry- No, Wet- Yes, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Chloe-Tag,Chloe,Felis catus,2017-07-20 03:29:22.000,2017-07-26 19:25:50.000,Hunt: Yes; prey_p_month: 3,7 years,Spayed,f,collar,@Trip PC,removal,Chloe,3-min fixes,"hrs_indoors: 17.5; n_cats: 2; Food: Dry- Yes, Wet- Yes, Other-",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Merlin-Tag,Merlin,Felis catus,2017-07-20 09:25:37.000,2017-07-27 00:24:39.000,Hunt: Yes; prey_p_month: 7.5,5 years,Neutered,m,collar,@Trip PC,removal,Merlin,3-min fixes,"hrs_indoors: 12.5; n_cats: 1; Food: Dry- Yes, Wet- No, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Felix-Tag,Felix,Felis catus,2017-07-22 01:02:05.000,2017-07-26 00:50:28.000,Hunt: Yes; prey_p_month: 3,4 years,Neutered,m,collar,@Trip PC,removal,Felix,3-min fixes,"hrs_indoors: 22.5; n_cats: 1; Food: Dry- Yes, Wet- Yes, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Beanie-Tag,Beanie,Felis catus,2017-07-22 01:02:42.000,2017-07-29 09:52:37.000,Hunt: No; prey_p_month: 0,4 years,Neutered,m,collar,@Trip PC,removal,Beanie,3-min fixes,"hrs_indoors: 17.5; n_cats: 4; Food: Dry- Yes, Wet- Yes, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Sid-Tag,Sid,Felis catus,2017-07-22 01:04:12.000,2017-07-29 10:23:55.000,Hunt: Yes; prey_p_month: 17.5,4 years,Spayed,f,collar,@Trip PC,removal,Sid,3-min fixes,"hrs_indoors: 7.5; n_cats: 1; Food: Dry- Yes, Wet- No, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Binky-Tag,Binky,Felis catus,2017-07-22 01:06:16.000,2017-07-28 15:28:57.000,Hunt: No; prey_p_month: 0,4 years,Neutered,m,collar,@Trip PC,removal,Binky,3-min fixes,"hrs_indoors: 17.5; n_cats: 4; Food: Dry- Yes, Wet- Yes, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Amber-Tag,Amber,Felis catus,2017-07-28 01:03:24.000,2017-08-04 00:07:52.000,Hunt: Yes; prey_p_month: 3,4 years,,f,collar,@Trip PC,removal,Amber,3-min fixes,"hrs_indoors: 7.5; n_cats: 4; Food: Dry- Yes, Wet- Yes, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Ernie-Tag,Ernie,Felis catus,2017-07-28 01:05:56.000,2017-08-04 02:03:41.000,Hunt: Yes; prey_p_month: 3,1 year,Neutered,m,collar,@Trip PC,removal,Ernie,3-min fixes,"hrs_indoors: 7.5; n_cats: 4; Food: Dry- Yes, Wet- Yes, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Bits-Tag,Bits,Felis catus,2017-07-29 01:02:11.000,2017-07-31 00:44:00.000,Hunt: Yes; prey_p_month: 3,13 years,Spayed,f,collar,@Trip PC,removal,Bits,3-min fixes,"hrs_indoors: 2.5; n_cats: 3; Food: Dry- Yes, Wet- No, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Maxwell-Tag,Maxwell,Felis catus,2017-07-29 01:02:12.000,2017-08-08 03:58:11.000,Hunt: Yes; prey_p_month: 17.5,6 years,Neutered,m,collar,@Trip PC,removal,Maxwell,3-min fixes,"hrs_indoors: 7.5; n_cats: 1; Food: Dry- Yes, Wet- Yes, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Lightening Bugg-Tag,Lightening Bugg,Felis catus,2017-07-29 01:02:49.000,2017-08-03 03:57:58.000,Hunt: Unsure; prey_p_month: 0,< 1 year,Neutered,m,collar,@Trip PC,removal,LighteningBugg,3-min fixes,"hrs_indoors: 12.5; n_cats: 2; Food: Dry- Yes, Wet- No, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Bobs-Tag,Bobs,Felis catus,2017-07-29 05:36:35.000,2017-08-05 09:25:34.000,Hunt: Yes; prey_p_month: 3,13 years,Spayed,f,collar,@Trip PC,removal,Bobs,3-min fixes,"hrs_indoors: 7.5; n_cats: 3; Food: Dry- Yes, Wet- No, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Carrots-Tag,Carrots,Felis catus,2017-08-25 01:01:32.000,2017-09-01 19:04:26.000,Hunt: Yes; prey_p_month: 17.5,3 years,Neutered,m,collar,@Trip PC,removal,Carrots,3-min fixes,"hrs_indoors: 7.5; n_cats: 4; Food: Dry- Yes, Wet- Yes, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Smudge-Tag,Smudge,Felis catus,2017-08-25 01:01:47.000,2017-09-01 03:03:32.000,Hunt: Yes; prey_p_month: 3,3 years,Neutered,m,collar,@Trip PC,removal,Smudge,3-min fixes,"hrs_indoors: 7.5; n_cats: 1; Food: Dry- Yes, Wet- Yes, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Magic-Tag,Magic,Felis catus,2017-08-25 01:02:00.000,2017-08-25 17:06:00.000,Hunt: Yes; prey_p_month: 3,3 years,Spayed,f,collar,@Trip PC,removal,Magic,3-min fixes,"hrs_indoors: 12.5; n_cats: 3; Food: Dry- Yes, Wet- No, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
