id,kde_proxy_area_ha
Abba,3.1365484905395613
Alfie,3.1365484905395613
Amber,6.2986163652983205
Ares,3.136548490539561
Athena,3.136548490539561
Balu,3.360051096323687
Barney,4.6584339620410695
Beanie,3.1365484905395613
Bear,5.020417815495741
Bella,6.210638470665049
Binky,3.136548490539561
Bits,5.911612114716941
Bobs,3.1365484905395613
Boots,3.136548490539561
Bumbles,5.007569732394289
CJ,3.136548490539561
Carbonel,3.136548490539561
Carrots,3.1365484905395613
Casper,3.1365484905395613
Charlie,3.136548490539561
Charlie2,5.822597014118499
Charlie3,3.1365484905392425
Chloe,3.8022777626391746
Coco,3.1365484905395613
Dexter,8.682712639572284
Dexter2,4.17963935807556
Dory,3.136548490539561
Ebby,3.136548490539561
Ernie,3.1365484905392425
Fairclough,3.136548490539561
Felix,3.136548490539561
Flash,3.136548490539561
Fonzie,3.136548490539243
Frank,3.136548490539561
Frank_2,3.1365484905395613
Freya,3.136548490539561
Friday,3.786941766167247
Ginge,3.1365484905395613
Gracie,8.658902360585676
Gracie_2,7.240385591674589
Guinness,3.136548490539561
Henry,6.506241282287913
Indie,13.369267821631336
Jago,3.136548490539561
Jago2,3.1365484905395613
Jasper,3.1365484905392425
Jessie,3.1365484905395613
Jessy,4.838068543454246
Jezebel,3.1365484905395613
Jim,3.136548490539561
Johnny,3.1365484905395618
Keegan,3.136548490539561
Lady T,3.136548490539243
Ladyboyhawke,3.136548490539561
Lightening Bugg,3.136548490539561
Lily,3.136548490539243
Lola,6.03826625794724
Lucy,3.136548490539561
Macaulay Mccat,3.3836321936670424
Maggie,4.737116042164037
Magic,6.089306296363197
Marley,3.136548490539561
Maverick,3.1365484905395613
Max,32.12726896112371
Maxwell,3.1365484905395613
Meg,4.1414300993446425
Merlin,11.754883210462237
Mifty,19.707598430054674
Millie,14.6091920932463
Missy,33.25154885917959
Morpheus,3.1365484905395613
Moscow,3.136548490539561
Neil,3.136548490539561
Nettle,3.136548490539561
Neva,3.1365484905395613
Pants,3.136548490539561
Poppet,14.265824860485326
Pussy,3.4326582996155834
Reggie,3.136548490539561
Roger,3.136548490539561
Rusty,19.732791254320937
Seb,4.161039019680598
Siberia,3.136548490539561
Sid,3.1365484905395613
Skye,3.1365484905395613
SmokeyLongnose,7.537314158048779
Smudge,6.622319846477469
Smudge_2,3.136548490539561
Sparky,3.1365484905392425
Spike,9.563786629904085
Spot,3.136548490539561
Teddy,5.609770696849506
Tigger,3.136548490539561
Tilly,4.003876579532004
Tipsy,3.136548490539561
Tom,6.86791691682307
Tommy,3.136548490539561
Whiskey,4.528583421451336
Wilfred,5.405649686962443
Winnie,6.700565963446957
Worf,14.627501459497182
